epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9711,1.89652,2.87609,1.84318,0.3882,0.33447,0.252,0.09453,2.14551,2.54181,2.0362,0.000664557,0.000664557,0.000664557
2,93.5335,1.94267,2.36874,1.96641,0.53548,0.46075,0.47477,0.21333,1.86858,3.32131,2.04821,0.00130487,0.00130487,0.00130487
3,137.41,1.94238,2.24617,1.95671,0.59994,0.49135,0.56789,0.25317,1.83491,1.8761,2.02902,0.00191877,0.00191877,0.00191877
4,183.557,1.87943,2.09898,1.9186,0.61839,0.53242,0.59403,0.28006,1.79279,1.77538,1.91011,0.0018812,0.0018812,0.0018812
5,237.995,1.82719,1.96387,1.88743,0.76118,0.61433,0.70685,0.34363,1.82079,1.52156,1.98872,0.0018416,0.0018416,0.0018416
6,293.339,1.7774,1.86147,1.84526,0.70523,0.61775,0.68255,0.31356,1.85057,1.50962,1.94982,0.001802,0.001802,0.001802
7,339.38,1.72681,1.76083,1.79925,0.74292,0.67068,0.76966,0.39139,1.65706,1.42059,1.82138,0.0017624,0.0017624,0.0017624
8,387.15,1.69811,1.66556,1.74774,0.75068,0.7707,0.78857,0.40783,1.66089,1.11706,1.76584,0.0017228,0.0017228,0.0017228
9,434.827,1.67627,1.59975,1.74696,0.87854,0.76109,0.86022,0.44402,1.6237,1.0791,1.75103,0.0016832,0.0016832,0.0016832
10,482.339,1.67024,1.56356,1.73326,0.80518,0.71941,0.79439,0.43912,1.58706,1.1723,1.75542,0.0016436,0.0016436,0.0016436
11,535.67,1.64278,1.50664,1.70414,0.8596,0.74744,0.86544,0.47573,1.52858,1.0486,1.68892,0.001604,0.001604,0.001604
12,586.621,1.63369,1.48247,1.70117,0.8482,0.84983,0.91579,0.51802,1.49233,0.97539,1.63677,0.0015644,0.0015644,0.0015644
13,637.466,1.59489,1.40159,1.66406,0.88393,0.82594,0.90796,0.50619,1.53542,1.00151,1.66209,0.0015248,0.0015248,0.0015248
14,686.984,1.58278,1.37886,1.65013,0.87693,0.85114,0.92171,0.528,1.48417,0.85624,1.64339,0.0014852,0.0014852,0.0014852
15,734.044,1.56667,1.33247,1.63368,0.88774,0.80968,0.90845,0.48574,1.55214,0.94618,1.7146,0.0014456,0.0014456,0.0014456
16,785.411,1.54602,1.30644,1.62208,0.91993,0.86348,0.93101,0.5305,1.48218,0.83336,1.62892,0.001406,0.001406,0.001406
17,837.074,1.52665,1.23554,1.58845,0.93237,0.84695,0.92813,0.51267,1.48852,0.85238,1.65047,0.0013664,0.0013664,0.0013664
18,884.903,1.51994,1.22153,1.59258,0.91127,0.90102,0.95911,0.54799,1.43634,0.79705,1.57941,0.0013268,0.0013268,0.0013268
